2019-10-10 08:51:54,572 | INFO | main | springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper | (DocumentationPluginsBootstrapper.java:83)- Found {0} custom documentation plugin(s)
2019-10-10 08:51:54,578 | INFO | main | springfox.documentation.spring.web.scanners.ApiListingReferenceScanner | (ApiListingReferenceScanner.java:53)- Scanning for api listing references
2019-10-10 08:51:54,581 | INFO | main | springfox.documentation.swagger.web.ClassOrApiAnnotationResourceGrouping | (ClassOrApiAnnotationResourceGrouping.java:100)- Group for method access was access-controller
2019-10-10 08:51:54,583 | INFO | main | springfox.documentation.spring.web.scanners.ApiListingReferenceScanner | (ApiListingReferenceScanner.java:72)- Request mapping: access belongs to groups: [[ResourceGroup{groupName='access-controller', position=0, controller=com.car.admin.swagger.AccessController}]] 
2019-10-10 08:51:54,584 | INFO | main | springfox.documentation.swagger.web.ClassOrApiAnnotationResourceGrouping | (ClassOrApiAnnotationResourceGrouping.java:100)- Group for method test was access-controller
2019-10-10 08:51:54,584 | INFO | main | springfox.documentation.spring.web.scanners.ApiListingReferenceScanner | (ApiListingReferenceScanner.java:72)- Request mapping: test belongs to groups: [[ResourceGroup{groupName='access-controller', position=0, controller=com.car.admin.swagger.AccessController}]] 
2019-10-10 08:51:54,591 | INFO | main | springfox.documentation.spring.web.scanners.ApiListingReferenceScanner | (ApiListingReferenceScanner.java:84)- Created resource listing Path: /default/access-controller Description: access-controller Position: 0
2019-10-10 08:51:54,608 | INFO | main | springfox.documentation.schema.ModelContextKeyGenerator | (ModelContextKeyGenerator.java:46)- Cache Key Generated: com.car.admin.ServerEnums.ResponseResult(true)
2019-10-10 08:51:54,608 | INFO | main | springfox.documentation.spring.web.caching.CachingAspect | (CachingAspect.java:79)- Caching aspect applied for cache models with key com.car.admin.ServerEnums.ResponseResult(true)
2019-10-10 08:51:54,613 | INFO | main | springfox.documentation.schema.property.ModelPropertiesKeyGenerator | (ModelPropertiesKeyGenerator.java:48)- Cache key generated: com.car.admin.ServerEnums.ResponseResult(true)
